Date, Priority1, Priority2
20171101,M16AL004,M17BL011
20171102,M16AL004,M17BL011
20171103,M16AL004,M17BL011
20171104,M16AL004,M17BL011
20171105,M17BL002,
20171106,M17BL002,
20171107,M17BL002,
20171108,M17BL002,
20171109,M17BL002,
20171110,PI,
20171111,PI,
20171112,PI,
20171113,PI,
20171114,PI,
20171115,PI,
20171116,PI,
20171117,PI,
20171118,PI,
20171119,PI,
20171120,PI,
20171121,M16AL006,M17BL009
20171122,M16AL006,M17BL009
20171123,M16AL006,M17BL009
20171124,M16AL006,M17BL009
20171125,M16AL006,M17BL009
20171126,PI,
20171127,PI,
20171128,PI,
20171129,PI,
20171130,PI,
20171131,PI,
20171201,PI,
20171202,PI,
20171203,PI,
20171204,PI,
20171205,PI,
20171206,PI,
20171207,PI,
20171208,PI,
20171209,M17BL004,
20171210,M17BL004,
20171211,M17BL004,
20171212,M17BL004,
20171213,M17BL004,
20171214,PI,
20171215,PI,
20171216,PI,
20171217,PI,
20171218,PI,
20171219,PI,
20171220,PI,
20171221,PI,
20171222,PI,
20171223,M16AL005,
20171224,M16AL005,
20171225,M16AL005,
20171226,M16AL005,
20171227,M16AL005,
20171228,M16AL005,
20171229,M16AL005,
20171230,M16AL005,
20171231,M16AL005,
