Date, Priority1, Priority2
20180201, M16AL006, M17BL009
20180202, M16AL006, M17BL009
20180203, M16AL006, M17BL009
20180204, M16AL006, M17BL009
20180205, M16AL006, M17BL009
20180206, M17BL004
20180207, M17BL004
20180208, M17BL004
20180209, M17BL004
20180210, M17BL004
20180211, PI,
20180212, PI,
20180213, PI,
20180214, PI,
20180215, PI,
20180216, M16AL004, M17BL011
20180217, M16AL004, M17BL011
20180218, M16AL004, M17BL011
20180219, M16AL004, M17BL011
20180220, PI,
20180221, PI,
20180222, PI,
20180223, PI,
20180224, PI,
20180225, PI,
20180226, PI,
20180227, PI,
20180228, PI,
20180301, PI,
20180302, M16AL006, M17BL009
20180303, M16AL006, M17BL009
20180304, M16AL006, M17BL009
20180305, M16AL006, M17BL009
20180306, PI,
20180307, PI,
20180308, PI,
20180309, M17BL002
20180310, M17BL002
20180311, M17BL002
20180312, M17BL002
20180313, M17BL002
20180314, M16AL001
20180315, M16AL001
20180316, M16AL001
20180317, M16AL001
20180318, M16AL001
20180319, PI,
20180320, PI,
20180321, PI,
20180322, PI,
20180323, M16AL004, M17BL011
20180324, M16AL004, M17BL011
20180325, M16AL004, M17BL011
20180326, M16AL004, M17BL011
20180327, M16AL004, M17BL011
20180328, PI,
20180329, PI,
20180330, PI,
20180331, PI,
